Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

Current Terminal Screen:
c4_reshard/4e6: 5 files
c4_reshard/4e7: 5 files
c4_reshard/4e8: 7 files
c4_reshard/4e9: 4 files
c4_reshard/4ea: 3 files
c4_reshard/4eb: 8 files
c4_reshard/4ec: 2 files
c4_reshard/4ed: 4 files
c4_reshard/4ee: 8 files
c4_reshard/4ef: 4 files
c4_reshard/4f: 89 files
c4_reshard/4f0: 7 files
c4_reshard/4f1: 6 files
c4_reshard/4f2: 4 files
c4_reshard/4f3: 7 files
c4_reshard/4f4: 5 files
c4_reshard/4f5: 4 files
c4_reshard/4f6: 4 files
c4_reshard/4f7: 6 files
c4_reshard/4f8: 8 files
c4_reshard/4f9: 7 files
c4_reshard/4fa: 8 files
c4_reshard/4fb: 4 files
c4_reshard/4fc: 4 files
c4_reshard/4fd: 4 files
c4_reshard/4fe: 6 files
c4_reshard/4ff: 5 files
c4_reshard/50: 85 files
c4_reshard/500: 4 files
c4_reshard/501: 6 files
c4_reshard/502: 10 files
c4_reshard/503: 10 files
c4_reshard/505: 5 files
c4_reshard/506: 1 files
c4_reshard/507: 9 files
c4_reshard/508: 10 files
c4_reshard/509: 6 files
c4_reshard/50a: 6 files
c4_reshard/50b: 3 files

