Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

New Terminal Output:
root@ab6bcd5c4563:/app# ls -la
total 88
drwxr-xr-x 1 root root    34 Jun 24 11:01 .
drwxr-xr-x 1 root root    57 Jul  7 19:24 ..
-rw-rw-r-- 1 root root 88805 Jun 24 11:01 graphene.dat
root@ab6bcd5c4563:/app# cd /app
root@ab6bcd5c4563:/app# cat graphene.dat | head -20
47183,554644    19261,547207
46588,360019    19266,089699
46008,191298    19077,996963
45442,488736    19173,287322
44890,718036    19501,518253
44352,368927    19506,586203
43826,959593    19752,431144
43314,029137    19812,863021
42813,138290    19678,348151
42323,866373    19764,871128
41845,813826    19360,099292
41378,600916    19413,554878
40921,863181    19626,191780
40475,250679    19704,066336
40038,430487    19495,727898
39611,084116    19672,573559
39192,908278    19538,763458
38783,609488    19344,943112
38382,908122    19510,307527
37990,536178    19552,152695
cat: write error: Broken pipe
root@ab6bcd5c4563:/app#











