Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

Current Terminal Screen:
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255
< 181 211 255

