Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

Current Terminal Screen:
c4_reshard/427: 4 files
c4_reshard/428: 6 files
c4_reshard/429: 2 files
c4_reshard/42a: 4 files
c4_reshard/42b: 6 files
c4_reshard/42c: 3 files
c4_reshard/42d: 5 files
c4_reshard/42e: 2 files
c4_reshard/42f: 7 files
c4_reshard/43: 70 files
c4_reshard/430: 7 files
c4_reshard/431: 3 files
c4_reshard/432: 2 files
c4_reshard/433: 8 files
c4_reshard/434: 5 files
c4_reshard/435: 7 files
c4_reshard/436: 1 files
c4_reshard/437: 6 files
c4_reshard/438: 6 files
c4_reshard/439: 4 files
c4_reshard/43a: 6 files
c4_reshard/43b: 1 files
c4_reshard/43c: 5 files
c4_reshard/43d: 5 files
c4_reshard/43f: 4 files
c4_reshard/44: 75 files
c4_reshard/440: 7 files
c4_reshard/441: 5 files
c4_reshard/442: 8 files
c4_reshard/443: 4 files
c4_reshard/444: 5 files
c4_reshard/445: 1 files
c4_reshard/446: 4 files
c4_reshard/447: 3 files
c4_reshard/448: 5 files
c4_reshard/449: 7 files
c4_reshard/44a: 3 files
c4_reshard/44b: 2 files
c4_reshard/44c: 5 files

