Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

Current Terminal Screen:
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255
< 175 207 255

