Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

Current Terminal Screen:
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
< 149 191 255
