Current Terminal Screen:
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255
< 172 205 255

