Previous response had warnings:
WARNINGS: - Extra text detected before JSON object

Current Terminal Screen:
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255
< 177 208 255

